Email_ID,Customer_ID,Segment,Device_Type,Subject_Type,Body_Content_Type,Gender,Location,Previous_Engagement,Opened,TimeStamp_Send,TimeStamp_Open,Clicked,Purchased,Unsubscribed,Delivery_Status,Revenue
1,7271,New Customer,Mobile,Gender Specific Title,Limited Time Discount,Female,Mandalay,43.41,FALSE,9/6/2023 7:53,,FALSE,FALSE,FALSE,Delivered,0
2,861,Returning Customer,Mobile,Product Specific Title,Limited Time Discount,Male,Pegu,53.81,TRUE,10/14/2023 0:24,10/14/2023 13:34,FALSE,FALSE,FALSE,Open,0
3,5391,New Customer,Mobile,Gender Highlight,Present Offer Promotion,Female,Yangon,30.11,FALSE,2/9/2023 19:19,,FALSE,FALSE,FALSE,Delivered,0
4,5192,New Customer,Desktop,Product Specific Title,Limited Time Discount,Male,Monywa,23.84,FALSE,3/26/2023 21:51,,FALSE,FALSE,FALSE,Delivered,0
5,5735,Returning Customer,Mobile,Product Highlight,Limited Time Discount,Male,Mandalay,22.37,FALSE,10/6/2023 1:47,,FALSE,FALSE,FALSE,Delivered,0
6,6266,New Customer,Mobile,Gender Highlight,Present Offer Promotion,Female,Mandalay,15.81,TRUE,9/10/2023 9:21,9/10/2023 21:23,FALSE,FALSE,FALSE,Open,0
7,467,New Customer,Mobile,Gender Specific Title,Present Offer Promotion,Female,Mandalay,10.83,TRUE,10/22/2023 16:35,10/22/2023 21:36,FALSE,FALSE,FALSE,Open,0
8,4427,New Customer,Mobile,Gender Highlight,Present Offer Promotion,Female,Yangon,40.30,FALSE,3/4/2023 0:07,,FALSE,FALSE,FALSE,Delivered,0
9,5579,VIP,Mobile,Gender Highlight,Present Offer Promotion,Male,Yangon,32.98,TRUE,5/13/2023 3:21,5/13/2023 14:21,FALSE,FALSE,FALSE,Open,0
10,8323,New Customer,Desktop,Product Specific Title,Present Offer Promotion,Female,Pegu,23.18,FALSE,3/2/2023 9:10,,FALSE,FALSE,FALSE,Delivered,0
11,1686,New Customer,Mobile,Gender Highlight,Present Offer Promotion,Female,Mandalay,31.29,FALSE,5/28/2023 13:10,,FALSE,FALSE,FALSE,Delivered,0
12,770,VIP,Mobile,Product Specific Title,Lucky Draw Promotion,Female,Yangon,29.81,FALSE,5/14/2023 13:53,,FALSE,FALSE,FALSE,Delivered,0
